timestamp,source_ip,destination_ip,user,action,status,is_attack
2024-01-15 00:10:00,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 00:10:05,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 00:10:10,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 00:10:15,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 00:10:20,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 00:10:25,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 00:10:30,1.1.1.1,10.0.0.5,erin,login,success,1
2024-01-15 03:05:00,1.1.1.1,10.0.0.5,dave,login,failed,1
2024-01-15 03:05:05,1.1.1.1,10.0.0.5,dave,login,failed,1
2024-01-15 03:05:10,1.1.1.1,10.0.0.5,dave,login,failed,1
2024-01-15 03:05:15,1.1.1.1,10.0.0.5,dave,login,failed,1
2024-01-15 03:05:20,1.1.1.1,10.0.0.5,dave,login,failed,1
2024-01-15 03:05:25,1.1.1.1,10.0.0.5,dave,login,success,1
2024-01-15 08:00:08,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 08:01:00,185.228.168.9,10.0.0.5,bob,login,failed,1
2024-01-15 08:01:05,185.228.168.9,10.0.0.5,bob,login,failed,1
2024-01-15 08:01:10,185.228.168.9,10.0.0.5,bob,login,failed,1
2024-01-15 08:01:15,185.228.168.9,10.0.0.5,bob,login,failed,1
2024-01-15 08:01:20,185.228.168.9,10.0.0.5,bob,login,failed,1
2024-01-15 08:01:25,185.228.168.9,10.0.0.5,bob,login,failed,1
2024-01-15 08:01:30,185.228.168.9,10.0.0.5,bob,login,success,1
2024-01-15 08:02:00,103.86.96.100,10.0.0.5,carol,login,failed,1
2024-01-15 08:02:05,103.86.96.100,10.0.0.5,carol,login,failed,1
2024-01-15 08:02:10,103.86.96.100,10.0.0.5,carol,login,failed,1
2024-01-15 08:02:15,103.86.96.100,10.0.0.5,carol,login,failed,1
2024-01-15 08:02:20,103.86.96.100,10.0.0.5,carol,login,failed,1
2024-01-15 08:02:25,103.86.96.100,10.0.0.5,carol,login,failed,1
2024-01-15 08:02:30,103.86.96.100,10.0.0.5,carol,login,failed,1
2024-01-15 08:02:35,103.86.96.100,10.0.0.5,carol,login,failed,1
2024-01-15 08:02:40,103.86.96.100,10.0.0.5,carol,login,success,1
2024-01-15 08:03:27,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 08:03:44,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 08:07:43,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 08:12:26,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 08:12:31,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 08:12:44,192.168.1.10,10.0.0.5,alice,login,failed,0
2024-01-15 08:15:05,192.168.1.15,10.0.0.5,frank,login,success,0
2024-01-15 08:16:05,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 08:16:25,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 08:17:04,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 08:19:55,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 08:20:18,192.168.1.13,10.0.0.5,dave,login,failed,0
2024-01-15 08:20:48,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 08:23:35,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 08:24:09,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 08:26:08,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 08:26:11,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 08:29:23,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 08:35:32,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 08:36:40,192.168.1.15,10.0.0.5,frank,login,success,0
2024-01-15 08:41:19,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 08:42:44,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 08:42:47,192.168.1.10,10.0.0.5,alice,login,failed,0
2024-01-15 08:43:00,8.8.8.8,10.0.0.5,dave,login,success,1
2024-01-15 08:43:50,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 08:43:58,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 08:48:13,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 08:49:00,9.9.9.9,10.0.0.5,dave,login,success,1
2024-01-15 08:52:37,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 08:54:33,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 08:54:39,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 08:57:18,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 08:58:05,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 08:59:46,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 09:02:25,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 09:03:58,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 09:04:39,192.168.1.10,10.0.0.5,alice,login,failed,0
2024-01-15 09:05:49,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 09:07:26,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 09:08:06,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 09:08:09,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 09:08:45,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 09:11:10,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 09:11:30,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 09:11:37,192.168.1.11,10.0.0.5,bob,login,failed,0
2024-01-15 09:12:39,192.168.1.15,10.0.0.5,frank,login,success,0
2024-01-15 09:14:19,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 09:14:52,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 09:21:04,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 09:21:18,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 09:23:32,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 09:24:52,192.168.1.15,10.0.0.5,frank,login,failed,0
2024-01-15 09:26:08,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 09:27:14,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 09:27:44,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 09:29:48,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 09:30:20,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 09:33:35,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 09:37:25,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 09:41:14,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 09:43:08,192.168.1.12,10.0.0.5,carol,login,failed,0
2024-01-15 09:46:24,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 09:47:32,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 09:52:33,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 10:05:05,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 10:08:23,192.168.1.15,10.0.0.5,frank,login,success,0
2024-01-15 10:08:55,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 10:15:41,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 10:16:58,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 10:18:54,192.168.1.15,10.0.0.5,frank,login,success,0
2024-01-15 10:20:00,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 10:21:23,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 10:26:24,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 10:29:36,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 10:32:43,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 10:36:03,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 10:36:30,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 10:40:07,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 10:41:15,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 10:43:30,192.168.1.13,10.0.0.5,dave,login,failed,0
2024-01-15 10:45:19,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 10:49:58,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 10:50:17,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 10:51:28,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 10:52:57,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 10:55:00,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 10:55:08,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 10:55:44,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 10:58:12,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 10:58:30,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 10:59:12,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 11:05:37,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 11:05:42,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 11:06:02,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 11:08:00,1.1.1.1,10.0.0.5,erin,login,success,1
2024-01-15 11:13:00,103.86.96.100,10.0.0.5,erin,login,success,1
2024-01-15 11:18:38,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 11:21:45,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 11:22:28,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 11:23:58,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 11:24:23,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 11:26:36,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 11:26:45,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 11:27:46,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 11:30:40,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 11:33:24,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 11:38:40,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 11:40:14,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 11:42:41,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 11:47:00,8.8.8.8,10.0.0.5,carol,login,failed,1
2024-01-15 11:47:05,8.8.8.8,10.0.0.5,carol,login,failed,1
2024-01-15 11:47:10,8.8.8.8,10.0.0.5,carol,login,failed,1
2024-01-15 11:47:15,8.8.8.8,10.0.0.5,carol,login,failed,1
2024-01-15 11:47:20,8.8.8.8,10.0.0.5,carol,login,failed,1
2024-01-15 11:47:25,8.8.8.8,10.0.0.5,carol,login,failed,1
2024-01-15 11:47:30,8.8.8.8,10.0.0.5,carol,login,success,1
2024-01-15 11:51:48,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 11:52:09,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 11:52:56,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 11:55:05,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 12:07:37,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 12:09:08,192.168.1.15,10.0.0.5,frank,login,success,0
2024-01-15 12:10:04,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 12:14:52,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 12:17:16,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 12:19:34,192.168.1.15,10.0.0.5,frank,login,success,0
2024-01-15 12:20:13,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 12:21:14,192.168.1.15,10.0.0.5,frank,login,success,0
2024-01-15 12:21:25,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 12:22:00,1.1.1.1,10.0.0.5,grace,login,failed,1
2024-01-15 12:22:05,1.1.1.1,10.0.0.5,grace,login,failed,1
2024-01-15 12:22:10,1.1.1.1,10.0.0.5,grace,login,failed,1
2024-01-15 12:22:15,1.1.1.1,10.0.0.5,grace,login,failed,1
2024-01-15 12:22:20,1.1.1.1,10.0.0.5,grace,login,failed,1
2024-01-15 12:22:25,1.1.1.1,10.0.0.5,grace,login,failed,1
2024-01-15 12:22:30,1.1.1.1,10.0.0.5,grace,login,failed,1
2024-01-15 12:22:35,1.1.1.1,10.0.0.5,grace,login,failed,1
2024-01-15 12:22:40,1.1.1.1,10.0.0.5,grace,login,success,1
2024-01-15 12:31:51,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 12:32:09,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 12:33:45,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 12:38:00,185.228.168.9,10.0.0.5,dave,login,success,1
2024-01-15 12:40:00,1.1.1.1,10.0.0.5,dave,login,success,1
2024-01-15 12:41:45,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 12:42:00,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 12:42:05,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 12:42:10,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 12:42:15,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 12:42:20,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 12:42:25,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 12:42:30,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 12:42:35,1.1.1.1,10.0.0.5,erin,login,failed,1
2024-01-15 12:42:40,1.1.1.1,10.0.0.5,erin,login,success,1
2024-01-15 12:52:05,192.168.1.15,10.0.0.5,frank,login,success,0
2024-01-15 13:00:02,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 13:01:15,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 13:02:32,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 13:06:01,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 13:06:03,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 13:06:06,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 13:06:46,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 13:18:30,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 13:18:52,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 13:19:14,192.168.1.15,10.0.0.5,frank,login,success,0
2024-01-15 13:22:07,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 13:22:07,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 13:34:07,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 13:34:29,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 13:36:47,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 13:41:00,185.228.168.9,10.0.0.5,carol,login,success,1
2024-01-15 13:43:00,1.1.1.1,10.0.0.5,carol,login,success,1
2024-01-15 13:45:13,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 13:45:38,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 13:47:02,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 13:48:02,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 13:49:52,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 13:53:07,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 13:54:24,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 13:57:23,192.168.1.15,10.0.0.5,frank,login,failed,0
2024-01-15 13:59:33,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 14:01:04,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 14:04:13,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 14:06:45,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 14:06:48,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 14:10:17,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 14:19:05,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 14:21:03,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 14:21:11,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 14:22:40,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 14:23:31,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 14:23:48,192.168.1.14,10.0.0.5,erin,login,success,0
2024-01-15 14:27:00,8.8.8.8,10.0.0.5,carol,login,success,1
2024-01-15 14:27:44,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 14:28:55,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 14:28:59,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 14:29:00,185.228.168.9,10.0.0.5,carol,login,success,1
2024-01-15 14:30:19,192.168.1.13,10.0.0.5,dave,login,success,0
2024-01-15 14:30:29,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 14:35:13,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 14:36:39,192.168.1.10,10.0.0.5,alice,login,success,0
2024-01-15 14:37:09,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 14:37:12,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 14:37:36,192.168.1.12,10.0.0.5,carol,login,success,0
2024-01-15 14:41:06,192.168.1.17,10.0.0.5,heidi,login,success,0
2024-01-15 14:47:03,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 14:48:18,192.168.1.11,10.0.0.5,bob,login,success,0
2024-01-15 14:48:54,192.168.1.16,10.0.0.5,grace,login,success,0
2024-01-15 14:49:04,192.168.1.14,10.0.0.5,erin,login,success,0
